Concept;Feature;WB_Label;WB_Maj;WB_Min;BR_Label;Prod_Freq;Rank_PF;Sum_PF_No_Tax;CPF;Disting;Distinct;CV_No_Tax;Intercorr_Str_Tax;Intercorr_Str_No_Tax;Feat_Length_Including_Spaces;Phon_1st;KF;ln(KF);BNC;ln(BNC);Familiarity;Length_Letters;Length_Phonemes;Length_Syllables;Bigram;Trigram;ColtheartN;Num_Feats_Tax;Num_Feats_No_Tax;Num_Disting_Feats_No_Tax;Disting_Feats_%_No_Tax;Mean_Distinct_No_Tax;Mean_CV_No_Tax;Density_No_Tax;Num_Corred_Pairs_No_Tax;%_Corred_Pairs_No_Tax;Num_Func;Num_Vis_Mot;Num_VisF&S;Num_Vis_Col;Num_Sound;Num_Taste;Num_Smell;Num_Tact;Num_Ency;Num_Tax
ant;is_small;external_surface_property;e;se;visual-form_and_surface;18;1;1229;121;ND;0.008;0.015;0;0;8;&;13;февр.56;1012;июнь.92;июль.55;3;3;1;0.00;0.00;6;12;11;2;18.февр;0.311;0.296;26.83;3;8;0;2;3;2;0;0;0;0;4;1
apartment;is_small;external_surface_property;e;se;visual-form_and_surface;11;5;1229;121;ND;0.008;0.009;0;0;8;@;98;апр.58;1948;июль.57;июль.80;9;8;3;593.42;309.09;0;18;17;12;70.6;0.671;0.688;101.60;4;40;1;0;8;0;0;0;0;0;8;1
bat_(animal);is_small;external_surface_property;e;se;visual-form_and_surface;6;14;1229;121;ND;0.008;0.005;0;0;8;b;24;март.18;1578;июль.36;апр.25;3;3;1;0.00;0.00;22;16;14;6;42.9;0.502;0.508;135.94;5;18;0;1;4;1;1;0;0;0;7;2
beans;is_small;external_surface_property;e;se;visual-form_and_surface;6;9;1229;121;ND;0.008;0.005;0;0;8;b;14;февр.64;1857;июль.53;7.00;5;4;1;1913.71;331.60;9;15;12;3;25.0;0.288;0.276;142.09;9;25;3;0;2;3;0;0;0;0;4;3
bedroom;is_small;external_surface_property;e;se;visual-form_and_surface;5;9;1229;121;ND;0.008;0.004;0;0;8;b;56;04.март;5967;авг.69;авг.95;7;6;2;647.21;60.94;0;10;9;5;55.6;0.585;0.670;108.43;3;50;2;0;6;0;0;0;0;0;1;1
beetle;is_small;external_surface_property;e;se;visual-form_and_surface;5;10;1229;121;ND;0.008;0.004;0;0;8;b;1;0.00;556;июнь.32;апр.20;6;4;2;1984.85;344.35;0;13;11;0;0.0;0.056;0.046;99.86;3;5;0;2;6;1;0;0;0;1;1;2
bin_(waste);is_small;external_surface_property;e;se;visual-form_and_surface;5;8;1229;121;ND;0.008;0.004;0;0;8;b;11;февр.40;1291;июль.16;08.окт;3;3;1;0.00;0.00;18;9;9;3;33.3;0.291;0.282;0.00;0;0;2;0;6;0;0;0;1;0;0;0
biscuit;is_small;external_surface_property;e;se;visual-form_and_surface;7;6;1229;121;ND;0.008;0.006;0;0;8;b;7;янв.95;1623;июль.39;июль.40;7;6;2;274.66;45.13;0;11;10;4;40.0;0.382;0.381;42.23;3;20;2;0;2;0;0;1;0;1;4;1
blueberry;is_small;external_surface_property;e;se;visual-form_and_surface;16;4;1229;121;ND;0.008;0.013;0;0;8;b;2;0.69;19;февр.94;06.май;9;7;3;134.46;апр.39;0;14;12;2;16.июль;0.168;0.161;153.53;8;18;4;0;2;1;0;2;0;1;2;2
bluejay;is_small;external_surface_property;e;se;visual-form_and_surface;5;10;1229;121;ND;0.008;0.004;0;0;8;b;1;0.00;3;01.окт;05.окт;7;5;2;88.76;05.сент;0;12;10;0;0.0;0.064;0.062;602.51;20;44;0;1;4;1;1;0;0;0;3;2
