speaker;ящерица;мышь;лягушка;еж;белка;крот;летучая мышь;змея;суслик;заяц;кошка ;черепаха (сухопутная);барсук;енот;курица;петух;выдра;собака;шакал;лиса;коза;овца;козел ;горный козел;волк;косуля;осел;баран ;рысь;олень;кабан;мул;крокодил;тигр;жеребец;телка ;корова;лев;кобыла;лошадь;вол;бык ;верблюд;медведь;слон
1;2;2;2;10;10;10;10;10;10;10;10;10;10;10;10;10;24;24;24;24;24;24;24;24;24;24;24;38;24;24;24;38;38;38;38;24;38;38;38;38;38;38;38;38;45
2;4;4;4;4;4;4;4;12;12;12;12;23;12;12;12;12;12;23;23;23;23;23;23;23;36,5;36,5;23;23;36,5;36,5;23;23;23;36,5;36,5;36,5;36,5;36,5;36,5;36,5;36,5;36,5;36,5;44,5;44,5
3;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;6,428571429;;6,428571429;6,428571429;6,428571429;;17,67857143;17,67857143;17,67857143;17,67857143;6,428571429;;34,28571429;34,28571429;17,67857143;17,67857143;17,67857143;17,67857143;34,28571429;17,67857143;34,28571429;17,67857143;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429;34,28571429
4;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;24,5;8,5;8,5;8,5;8,5;24,5;8,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;24,5;39;39;24,5;39;39;39;39;39;39;39;39;39;39;39
5;3,5;3,5;3,5;3,5;12,5;12,5;12,5;3,5;12,5;12,5;12,5;3,5;12,5;12,5;12,5;12,5;12,5;12,5;27;27;27;27;27;27;27;27;27;40,5;27;27;40,5;40,5;27;27;27;40,5;27;27;40,5;27;40,5;40,5;40,5;40,5;40,5
6;4;4;4;4;4;4;13;13;13;13;13;4;13;13;13;13;13;25,5;13;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;38,5;25,5;38,5;38,5;38,5;38,5;38,5;38,5;25,5;38,5;38,5;38,5;38,5;38,5;45
7;4;4;4;4;4;4;14,5;14,5;4;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;14,5;33;33;33;33;14,5;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;45
8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;25;25;25;25;25;25;25;25;25;25;25;25;25;25;38,5;38,5;38,5;25;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;45
9;2,556818182;2,556818182;2,556818182;2,556818182;6,647727273;6,647727273;6,647727273;6,647727273;13,80681818;13,80681818;13,80681818;13,80681818;13,80681818;13,80681818;13,80681818;13,80681818;13,80681818;13,80681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;25,05681818;37,32954545;25,05681818;37,32954545;;37,32954545;37,32954545;37,32954545;37,32954545;37,32954545;37,32954545;37,32954545;37,32954545;37,32954545;43,97727273;37,32954545;45
10;2,5;2,5;2,5;2,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;11,5;22,5;22,5;22,5;22,5;22,5;22,5;32;32;32;22,5;32;41,5;32;22,5;41,5;32;41,5;32;32;32;32;41,5;32;41,5;41,5;41,5;41,5
11;4;4;4;4;4;14;4;14;14;14;14;4;14;14;14;14;14;14;26;14;26;26;26;26;26;26;26;26;26;14;38,5;38,5;26;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5;38,5
average;4,589580874;4,589580874;4,589580874;5,316853601;7,325118064;8,234208973;9,097845336;10,26477273;10,43048996;11,38503542;11,38503542;11,78068182;12,40776269;12,40776269;12,40776269;12,40776269;14,11230815;17,23068182;23,53113932;23,57659386;24,83958087;24,83958087;24,83958087;24,83958087;26,75841204;26,93048996;27,2129575;27,33958087;28,44023022;29,32865998;30,75841204;33,64684179;33,87857143;34,37411452;35,32865998;35,64684179;35,69229634;35,69229634;35,73775089;36,5559327;36,91956907;37,78320543;38,38754427;38,51047816;42,11688312
